Id,Probability
1,0.050879074
2,0.076164003
3,0.029255193
4,0.063346831
5,0.029156693
6,0.570942469
7,0.043742862
8,0.035718121
9,0.056068222
10,0.167544253
11,0.032808559
12,0.028212815
13,0.038680852
14,0.102643894
15,0.051320061
16,0.055585658
17,0.063868826
18,0.056973519
19,0.057941479
20,0.051581266
21,0.046250319
22,0.056960393
23,0.06974097
24,0.027578202
25,0.035937439
26,0.050734013
27,0.038091748
28,0.034766141
29,0.028888682
30,0.060990833
31,0.044762239
32,0.035689419
33,0.03730649
34,0.027374718
35,0.171958917
36,0.049086065
37,0.072664865
38,0.042051243
39,0.035296129
40,0.051792949
41,0.034765724
42,0.051356895
43,0.026950662
44,0.06525482
45,0.124638414
46,0.054756946
47,0.089922296
48,0.067097808
49,0.036537429
50,0.061048325
51,0.052159196
52,0.036071401
53,0.028250448
54,0.033413867
55,0.457896583
56,0.038244801
57,0.18598492
58,0.045146061
59,0.048669848
60,0.034954242
61,0.047413894
62,0.046940893
63,0.074457036
64,0.127449574
65,0.027513622
66,0.163685084
67,0.02784687
68,0.033770699
69,0.051435165
70,0.052788517
71,0.037278698
72,0.031548835
73,0.044157767
74,0.054048573
75,0.029468621
76,0.037590479
77,0.027953329
78,0.035340927
79,0.03007854
80,0.041079382
81,0.052280423
82,0.052039617
83,0.027618954
84,0.028097263
85,0.063375207
86,0.043078573
87,0.056709006
88,0.050246537
89,0.177686272
90,0.028328133
91,0.043044962
92,0.027238781
93,0.141824856
94,0.02716044
95,0.040236108
96,0.054446247
97,0.059420021
98,0.065555793
99,0.027019802
100,0.028831588
101,0.066812389
102,0.048217127
103,0.437163934
104,0.052991797
105,0.060242961
106,0.030520517
107,0.43216574
108,0.163905684
109,0.051518826
110,0.044058771
111,0.050949774
112,0.044330218
113,0.107232087
114,0.030237672
115,0.070980232
116,0.042837699
117,0.126097925
118,0.05019902
119,0.057035735
120,0.042907766
121,0.093937228
122,0.032450393
123,0.046032278
124,0.05275135
125,0.135713042
126,0.034457844
127,0.044248108
128,0.067797227
129,0.037685201
130,0.038933159
131,0.471355552
132,0.050600048
133,0.036628984
134,0.038860331
135,0.100641928
136,0.037963614
137,0.057077591
138,0.586854994
139,0.101010714
140,0.09130431
141,0.047716294
142,0.050068791
143,0.052500426
144,0.02752419
145,0.049748833
146,0.052176525
147,0.037790482
148,0.081758303
149,0.030238692
150,0.034461808
151,0.079045894
152,0.067443805
153,0.163101623
154,0.611734756
155,0.053243254
156,0.073893414
157,0.067779436
158,0.02727403
159,0.062763694
160,0.052858705
161,0.048036075
162,0.027354572
163,0.044046883
164,0.083550604
165,0.055684463
166,0.033798034
167,0.04363388
168,0.050926557
169,0.031228063
170,0.040887445
171,0.053011938
172,0.039813435
173,0.056771699
174,0.090575256
175,0.051430027
176,0.038274726
177,0.050153614
178,0.098866422
179,0.451175569
180,0.091636396
181,0.03850079
182,0.027138192
183,0.034420591
184,0.0360238
185,0.46458173
186,0.050017717
187,0.071716079
188,0.032120079
189,0.040168066
190,0.031167742
191,0.04763144
192,0.049215643
193,0.037621592
194,0.028742975
195,0.026881632
196,0.028577708
197,0.0686138
198,0.046186481
199,0.051592518
200,0.050773942
201,0.031492091
202,0.02725399
203,0.055338814
204,0.05012633
205,0.033254087
206,0.038879457
207,0.11428583
208,0.029792629
209,0.052803364
210,0.043285901
211,0.11587083
212,0.037425025
213,0.057884204
214,0.052384286
215,0.037703024
216,0.052163438
217,0.051255498
218,0.067486381
219,0.615629292
220,0.035311151
221,0.026827621
222,0.035270445
223,0.052346906
224,0.067107287
225,0.060084082
226,0.045457884
227,0.080133251
228,0.047652909
229,0.02876548
230,0.054459167
231,0.036613674
232,0.031955244
233,0.043996345
234,0.042518241
235,0.053558652
236,0.054928519
237,0.076624623
238,0.039930361
239,0.054519583
240,0.052054106
241,0.037551499
242,0.027472969
243,0.046444124
244,0.0367334
245,0.026827621
246,0.028690576
247,0.033206979
248,0.033430455
249,0.050930681
250,0.065192236
251,0.048428836
252,0.036819459
253,0.035599745
254,0.032972963
255,0.044721097
256,0.193207203
257,0.031630444
258,0.091310124
259,0.043756431
260,0.055879233
261,0.134352634
262,0.049358674
263,0.032219722
264,0.029162878
265,0.028830583
266,0.030188934
267,0.0516062
268,0.031444858
269,0.040501712
270,0.04324396
271,0.03180356
272,0.099425042
273,0.03356284
274,0.141435658
275,0.16440794
276,0.042622497
277,0.038154311
278,0.049572881
279,0.150679829
280,0.027649592
281,0.687952163
282,0.02765797
283,0.044271407
284,0.064268577
285,0.030582395
286,0.049506983
287,0.075017275
288,0.047372466
289,0.029008073
290,0.039995154
291,0.027732647
292,0.027837658
293,0.034626958
294,0.170161313
295,0.592979444
296,0.027031105
297,0.027493021
298,0.486071706
299,0.039639479
300,0.12866142
301,0.035477435
302,0.081431515
303,0.046845638
304,0.042849526
305,0.030614899
306,0.175208255
307,0.043673142
308,0.080517321
309,0.051438566
310,0.038763576
311,0.042486026
312,0.137152345
313,0.026827621
314,0.137454553
315,0.050369599
316,0.031258664
317,0.03385115
318,0.047385517
319,0.026950662
320,0.02818414
321,0.037314678
322,0.109872165
323,0.026950662
324,0.027497403
325,0.053141872
326,0.027345783
327,0.131908932
328,0.15320012
329,0.027158528
330,0.089132078
331,0.058745284
332,0.512929113
333,0.111660341
334,0.03024246
335,0.650558421
336,0.046831093
337,0.058898845
338,0.63543801
339,0.067303488
340,0.054864636
341,0.049085047
342,0.026950662
343,0.094485043
344,0.082826568
345,0.051684153
346,0.040416152
347,0.027154146
348,0.029886769
349,0.032046568
350,0.154415138
351,0.072960017
352,0.073234345
353,0.027266398
354,0.02835841
355,0.059600791
356,0.103035694
357,0.043309268
358,0.05153633
359,0.046951359
360,0.12770228
361,0.02779705
362,0.03477654
363,0.109895881
364,0.088737988
365,0.421654089
366,0.056270165
367,0.046403436
368,0.05061548
369,0.03350411
370,0.060213927
371,0.094277572
372,0.042674747
373,0.046226228
374,0.062661525
375,0.034004377
376,0.056304774
377,0.106880569
378,0.061885281
379,0.027020141
380,0.695871716
381,0.027192203
382,0.051433737
383,0.074904565
384,0.031463452
385,0.060848929
386,0.035425184
387,0.052217625
388,0.033801805
389,0.026881632
390,0.038133302
391,0.029358617
392,0.0279034
393,0.034848171
394,0.036046499
395,0.11135646
396,0.028322783
397,0.065614942
398,0.033185454
399,0.032566097
400,0.028211315
401,0.033006448
402,0.049943397
403,0.416787396
404,0.461870252
405,0.027318892
406,0.033791566
407,0.028305288
408,0.081181411
409,0.050115645
410,0.051466969
411,0.053152263
412,0.150133547
413,0.049994102
414,0.043556043
415,0.05917507
416,0.047976861
417,0.118843605
418,0.109609811
419,0.041859326
420,0.044228997
421,0.061115456
422,0.043113588
423,0.954400634
424,0.026810403
425,0.062228358
426,0.055063463
427,0.062348117
428,0.430355116
429,0.401865701
430,0.807250735
431,0.087307391
432,0.051488272
433,0.05996291
434,0.082339283
435,0.193691539
436,0.053857688
437,0.03729797
438,0.068311165
439,0.071145176
440,0.036339682
441,0.041958351
442,0.02752419
443,0.055218905
444,0.079709996
445,0.157262249
446,0.031612272
447,0.042105516
448,0.046467779
449,0.02761981
450,0.175664406
451,0.052974821
452,0.040371185
453,0.037013962
454,0.746761805
455,0.046203325
456,0.119421474
457,0.47463533
458,0.053523152
459,0.176287051
460,0.063523785
461,0.060957218
462,0.569704783
463,0.057336768
464,0.088155218
465,0.028410456
466,0.063855488
467,0.053104598
468,0.035776358
469,0.158637166
470,0.028076848
471,0.054865727
472,0.620346758
473,0.055215689
474,0.035178343
475,0.660708987
476,0.55567425
477,0.440445549
478,0.030207057
479,0.539437238
480,0.027100135
481,0.631963581
482,0.490276372
483,0.036873022
484,0.030156428
485,0.055450781
486,0.69494042
487,0.028476788
488,0.147306049
489,0.043876837
490,0.045534146
491,0.051545491
492,0.062415856
493,0.042811284
494,0.030821959
495,0.066698045
496,0.057423325
497,0.133841101
498,0.038916925
499,0.045094954
500,0.047989567
501,0.036678577
502,0.028932482
503,0.045695185
504,0.150171079
505,0.046320649
506,0.027374361
507,0.043114276
508,0.154927388
509,0.034291776
510,0.035434672
511,0.02809379
512,0.026950662
513,0.047305519
514,0.031394114
515,0.047692853
516,0.041210291
517,0.029790836
518,0.048512976
519,0.029869681
520,0.06314614
521,0.02816956
522,0.044134303
523,0.028067713
524,0.063199351
525,0.055641283
526,0.029422472
527,0.028175353
528,0.05415225
529,0.02950617
530,0.058842278
531,0.045804002
532,0.044239686
533,0.113410452
534,0.04701938
535,0.058101662
536,0.037519572
537,0.036898177
538,0.070561213
539,0.092388938
540,0.027316083
541,0.400561506
542,0.050644882
543,0.04641032
544,0.032437626
545,0.030300805
